7,融城理想新上南北通透套三，非常安静，一梯一户,融城理想??3室2厅??141平米??南,市一医院二手房/低楼层(共16层)/2005年建板塔结合,距离1号线高新站227米满五年唯一独家随时看房,157万,11135 元/m2,49人看过此房
8,鹭岛国际精装套三，送入户花园，前后中庭，南北通透！,鹭岛国际一二期??3室2厅??148平米??东南,外双楠二手房/中楼层(共11层)/2006年建板楼,龙祥路小学满五年唯一独家,230万,15541 元/m2,15人看过此房
9,居家装修 中间楼层 看房方便 房东稳定 配套齐全。,汇融云庭??2室2厅??81.67平米??南,理工大二手房/中楼层(共31层)/2009年建板塔结合,二仙桥学校满五年唯一独家随时看房,71万,8694 元/m2,32人看过此房
10,急售精装F2，拎包入住，地铁口免营业税,上锦颐园??3室2厅??87平米??西南,红光二手房/中楼层(共24层)/2008年建板塔结合,满五年唯一独家随时看房,51万,5863 元/m2,176人看过此房
11,市中心文殊院旁 正朝南对小区中庭明厨明卫 人车分流 ,北斗星花园??3室2厅??148.01平米??南,草市街二手房/低楼层(共21层)/1996年建板楼,双眼井小学距离4号线太升南路站1074米满五年唯一,125万,8446 元/m2,156人看过此房
12,精装修 黄金楼层 套三幻变套四 正读晋阳小学 ,西郡香林??3室2厅??97平米??南,五大花园二手房/中楼层(共11层)/2006年建板楼,晋阳小学满五年唯一,94万,9691 元/m2,41人看过此房
13,小区在售唯一此户型，安静不临街，基装保养好,康郡??3室1厅??104.2平米??南 北,东光小区二手房/中楼层(共11层)/2006年建板楼,盐道街小学得胜分校满五年唯一独家,130万,12477 元/m2,112人看过此房
14,21世纪花园四期 精装跃层双主卧双阳台 正读青羊附小,二十一世纪花园四期??3室2厅??148平米??南,贝森二手房/低楼层(共7层)/2003年建板楼,青羊实验附小距离4号线清江西路站952米满五年唯一随时看房,120万,8109 元/m2,96人看过此房
15,此房已经有客户定了，10月中旬签约，未签合同不能下架,武侯国际花园??2室2厅??80平米??南,红牌楼二手房/低楼层(共13层)/2009年建板楼,满五年唯一随时看房,80万,10000 元/m2,79人看过此房
16,城南 二环内 天府花园 别墅小区 户型好 环境好 ,天府花园??3室1厅??117.6平米??南,芳草二手房/低楼层(共9层)/2005年建板楼,芳草小学距离3号线衣冠庙站818米满五年唯一随时看房,116万,9864 元/m2,67人看过此房
17,首付不足25万，黄金三楼精装套二，卧室双阳台，南北向,锦秀民居??2室2厅??95平米??南,府南新区二手房/中楼层(共7层)/2001年建板楼,实小战旗分校距离4号线文化宫站910米满五年唯一随时看房,76万,8000 元/m2,116人看过此房
18,翠云庭,翠云庭??3室2厅??143.6平米??南,航空路二手房/低楼层(共12层)/2002年建板楼,科华中路小学距离1号线桐梓林站226米满五年唯一随时看房,136万,9471 元/m2,48人看过此房
19,玉林嘉苑霸气套三 安静不临街黄金楼层 理想家园,玉林嘉苑??3室2厅??112平米??南,玉林二手房/中楼层(共7层)/1999年建板楼,玉林小学距离1号线倪家桥站1099米满五年唯一随时看房,107万,9554 元/m2,63人看过此房
